"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:09"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:10"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:12"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:13"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:14"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:16"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:17"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:19"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:20"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:22"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:23"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:25"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:26"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:28"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:29"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:30"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:32"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:33"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:34"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:36"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:37"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:39"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:40"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:42"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:43"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:44"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:46"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:47"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:49"
"Temperatura: ";"19.75 ºC";"2017/12/31 02:25:51"
